iter	RMSE
0	0.9480092571
1	0.9200767657
2	0.8937835965
3	0.8685715405
4	0.8451599752
5	0.8231945925
6	0.8025415474
7	0.7829077983
8	0.7644889862
9	0.7467188831
10	0.7296866475
11	0.7140887325
12	0.6997869812
13	0.6865553816
14	0.673801766
15	0.661786798
16	0.6504527742
17	0.6398905825
18	0.6300689048
19	0.6206586958
20	0.6120463425
21	0.6038322696
22	0.5960900527
23	0.5888834267
24	0.5820915246
25	0.575831068
26	0.5698943065
27	0.5642726884
28	0.5590636821
29	0.554319412
30	0.5497729413
31	0.5454882774
32	0.5413522986
33	0.537486037
34	0.5340086553
35	0.530748112
36	0.5276051589
37	0.5246793427
38	0.5218986576
39	0.5191985206
40	0.5167408677
41	0.5144207121
42	0.5121714686
43	0.5100611839
44	0.5081454721
45	0.5064152131
46	0.5048249615
47	0.5031019661
48	0.5015130465
49	0.5000848985
50	0.4987411832
51	0.4973158342
52	0.4959840916
53	0.494679604
54	0.4935366398
55	0.4925542313
56	0.4914618371
57	0.4905544253
58	0.4895013599
59	0.48868907
60	0.4878439953
61	0.4869473127
62	0.4861366113
63	0.4853364221
64	0.4845336588
65	0.4838862259
66	0.4832996581
67	0.4824242387
68	0.4816964737
69	0.4811060501
70	0.480630439
71	0.4801498236
72	0.4795894465
73	0.4790958368
74	0.4786800623
75	0.4781931743
76	0.4778837129
77	0.4774108233
78	0.4769945867
79	0.4764742767
80	0.4759727539
81	0.4755316673
82	0.4751127751
83	0.4746945999
84	0.4743134138
85	0.4737813435
86	0.473388235
87	0.4730743624
88	0.4728162595
89	0.47242838
90	0.4719201855
91	0.4715297629
92	0.4711395149
93	0.4707552755
94	0.4702584406
95	0.4698635743
96	0.4695024978
97	0.469145702
98	0.4689155921
99	0.4685537356
