iter	Passed	Remaining
0	79	79489
1	144	71873
2	203	67643
3	291	72462
4	373	74298
5	455	75473
6	532	75506
7	608	75488
8	661	72882
9	715	70791
10	792	71222
11	847	69741
12	921	69957
13	974	68627
14	1024	67255
15	1100	67692
16	1153	66674
17	1204	65710
18	1288	66514
19	1341	65716
20	1419	66192
21	1469	65348
22	1523	64708
23	1596	64932
24	1645	64157
25	1697	63600
26	1774	63944
27	1834	63680
28	1892	63356
29	1945	62888
30	2008	62791
31	2091	63268
32	2164	63439
33	2237	63577
34	2293	63236
35	2350	62954
36	2429	63241
37	2479	62776
38	2537	62534
39	2627	63057
40	2689	62905
41	2749	62723
42	2808	62495
43	2864	62243
44	2940	62399
45	2998	62181
46	3083	62518
47	3136	62216
48	3215	62407
49	3275	62228
50	3351	62369
51	3401	62016
52	3457	61778
53	3513	61552
54	3566	61287
55	3620	61029
56	3701	61234
57	3754	60975
58	3828	61068
59	3889	60931
60	3964	61026
61	4018	60797
62	4074	60601
63	4156	60781
64	4205	60497
65	4284	60627
66	4338	60410
67	4413	60487
68	4464	60239
69	4515	59985
70	4593	60108
71	4646	59885
72	4715	59885
73	4781	59830
74	4863	59985
75	4930	59946
76	5035	60357
77	5166	61065
78	5352	62398
79	5473	62945
80	5616	63718
81	5700	63820
82	5773	63791
83	5889	64225
84	5987	64448
85	6036	64157
86	6114	64170
87	6164	63888
88	6220	63669
89	6296	63667
90	6357	63503
91	6438	63545
92	6505	63450
93	6581	63436
94	6637	63233
95	6711	63203
96	6765	62986
97	6817	62744
98	6893	62738
99	6968	62717
100	7055	62800
101	7118	62670
102	7200	62705
103	7258	62538
104	7332	62500
105	7387	62308
106	7446	62142
107	7503	61971
108	7556	61769
109	7611	61584
110	7689	61586
111	7743	61397
112	7824	61418
113	7886	61293
114	7965	61301
115	8025	61158
116	8083	61006
117	8140	60850
118	8193	60658
119	8281	60729
120	8338	60575
121	8413	60550
122	8466	60367
123	8514	60151
124	8592	60149
125	8647	59980
126	8722	59956
127	8780	59814
128	8838	59678
129	8893	59518
130	8943	59330
131	9031	59391
132	9097	59304
133	9175	59297
134	9232	59155
135	9315	59179
136	9371	59032
137	9424	58866
138	9478	58714
139	9531	58552
140	9616	58587
141	9665	58402
142	9739	58367
143	9786	58176
144	9848	58070
145	9923	58045
146	9979	57906
147	10033	57759
148	10094	57653
149	10145	57490
150	10198	57340
151	10277	57338
152	10335	57217
153	10394	57102
154	10447	56953
155	10497	56796
156	10572	56769
157	10629	56646
158	10702	56608
159	10753	56454
160	10814	56355
161	10904	56405
162	10957	56267
163	11036	56258
164	11098	56167
165	11177	56158
166	11236	56048
167	11322	56075
168	11381	55966
169	11453	55920
170	11509	55796
171	11564	55672
172	11642	55655
173	11690	55498
174	11763	55456
175	11842	55446
176	11893	55301
177	11949	55181
178	11999	55037
179	12060	54940
180	12139	54929
181	12193	54802
182	12271	54784
183	12330	54680
184	12405	54652
185	12463	54546
186	12536	54503
187	12593	54395
188	12646	54266
189	12726	54255
190	12780	54131
191	12861	54125
192	12934	54085
193	13009	54051
194	13081	54004
195	13155	53964
196	13228	53922
197	13317	53942
198	13371	53820
199	13441	53766
200	13492	53633
201	13549	53526
202	13631	53519
203	13681	53384
204	13755	53345
205	13804	53205
206	13871	53140
207	13950	53118
208	14002	52996
209	14055	52874
210	14107	52752
211	14157	52622
212	14234	52595
213	14287	52475
214	14343	52369
215	14422	52347
216	14471	52216
217	14527	52114
218	14604	52082
219	14658	51971
220	14726	51909
221	14784	51812
222	14836	51696
223	14908	51648
224	14954	51510
225	15010	51409
226	15087	51375
227	15143	51273
228	15214	51223
229	15270	51123
230	15330	51035
231	15425	51062
232	15481	50961
233	15541	50876
234	15620	50848
235	15676	50748
236	15751	50709
237	15802	50594
238	15851	50472
239	15910	50383
240	15977	50319
241	16052	50279
242	16152	50317
243	16209	50221
244	16284	50183
245	16354	50126
246	16417	50051
247	16475	49956
248	16534	49868
249	16612	49837
250	16676	49763
251	16749	49715
252	16816	49651
253	16895	49622
254	16944	49505
255	17014	49448
256	17104	49451
257	17164	49364
258	17219	49265
259	17276	49170
260	17358	49149
261	17434	49109
262	17524	49107
263	17582	49018
264	17659	48978
265	17718	48893
266	17791	48842
267	17843	48736
268	17900	48642
269	17982	48618
270	18036	48519
271	18117	48489
272	18171	48389
273	18256	48372
274	18330	48325
275	18404	48277
276	18456	48173
277	18510	48073
278	18587	48034
279	18647	47951
280	18725	47913
281	18782	47822
282	18860	47785
283	18911	47677
284	18958	47563
285	19033	47518
286	19106	47467
287	19180	47418
288	19230	47310
289	19285	47215
290	19362	47175
291	19417	47081
292	19501	47056
293	19554	46957
294	19640	46938
295	19698	46851
296	19776	46811
297	19831	46716
298	19905	46668
299	19966	46588
300	20043	46546
301	20097	46451
302	20153	46360
303	20206	46262
304	20262	46171
305	20346	46146
306	20399	46047
307	20481	46016
308	20534	45920
309	20622	45900
310	20678	45812
311	20737	45729
312	20789	45629
313	20839	45529
314	20917	45488
315	20967	45386
316	21021	45291
317	21099	45250
318	21156	45164
319	21230	45115
320	21291	45038
321	21370	44997
322	21443	44945
323	21527	44914
324	21581	44822
325	21661	44784
326	21714	44689
327	21797	44657
328	21882	44629
329	21961	44588
330	22013	44492
331	22067	44400
332	22158	44384
333	22225	44318
334	22306	44279
335	22378	44223
336	22454	44175
337	22511	44090
338	22588	44044
339	22646	43961
340	22719	43906
341	22771	43812
342	22819	43709
343	22898	43666
344	22951	43574
345	23029	43530
346	23083	43438
347	23173	43416
348	23234	43340
349	23310	43291
350	23376	43223
351	23447	43165
352	23501	43075
353	23554	42983
354	23634	42941
355	23686	42848
356	23754	42784
357	23818	42713
358	23906	42685
359	23964	42603
360	24045	42562
361	24099	42473
362	24153	42384
363	24230	42337
364	24284	42247
365	24361	42200
366	24415	42111
367	24489	42058
368	24547	41976
369	24619	41919
370	24675	41835
371	24731	41751
372	24784	41661
373	24837	41572
374	24922	41537
375	24981	41459
376	25043	41384
377	25097	41297
378	25149	41208
379	25231	41167
380	25290	41088
381	25371	41046
382	25423	40956
383	25476	40867
384	25530	40782
385	25597	40716
386	25677	40672
387	25733	40590
388	25797	40520
389	25857	40443
390	25916	40365
391	26000	40327
392	26062	40254
393	26142	40209
394	26209	40144
395	26299	40112
396	26364	40044
397	26452	40010
398	26511	39933
399	26584	39876
400	26643	39799
401	26703	39723
402	26757	39638
403	26808	39549
404	26887	39501
405	26939	39413
406	27018	39365
407	27076	39286
408	27149	39230
409	27212	39159
410	27298	39121
411	27350	39034
412	27429	38985
413	27484	38903
414	27562	38853
415	27622	38777
416	27710	38741
417	27768	38663
418	27850	38618
419	27909	38541
420	27962	38456
421	28014	38370
422	28084	38308
423	28186	38290
424	28251	38222
425	28322	38162
426	28379	38083
427	28456	38030
428	28512	37950
429	28594	37903
430	28646	37818
431	28723	37766
432	28773	37677
433	28824	37590
434	28897	37533
435	28958	37459
436	29034	37405
437	29086	37320
438	29133	37229
439	29213	37180
440	29268	37099
441	29347	37050
442	29407	36974
443	29480	36917
444	29536	36837
445	29593	36759
446	29672	36708
447	29720	36620
448	29772	36536
449	29848	36481
450	29901	36399
451	29950	36311
452	30034	36266
453	30081	36177
454	30157	36122
455	30204	36033
456	30273	35970
457	30361	35929
458	30418	35853
459	30477	35777
460	30534	35701
461	30594	35627
462	30684	35588
463	30741	35512
464	30814	35453
465	30867	35372
466	30916	35286
467	30993	35231
468	31042	35145
469	31094	35064
470	31155	34992
471	31205	34907
472	31257	34825
473	31334	34772
474	31394	34699
475	31469	34643
476	31521	34561
477	31577	34483
478	31637	34411
479	31689	34329
480	31743	34251
481	31829	34207
482	31887	34131
483	31958	34071
484	32018	33999
485	32089	33938
486	32144	33860
487	32195	33779
488	32258	33709
489	32336	33656
490	32408	33596
491	32466	33521
492	32543	33467
493	32595	33387
494	32644	33303
495	32725	33253
496	32782	33178
497	32860	33124
498	32929	33061
499	33011	33011
500	33067	32935
501	33154	32890
502	33209	32813
503	33283	32755
504	33354	32694
505	33436	32643
506	33493	32569
507	33554	32497
508	33618	32429
509	33671	32350
510	33744	32291
511	33817	32232
512	33920	32201
513	33989	32137
514	34078	32093
515	34138	32021
516	34209	31959
517	34261	31880
518	34314	31801
519	34396	31750
520	34457	31679
521	34549	31637
522	34613	31569
523	34694	31516
524	34752	31442
525	34822	31380
526	34875	31301
527	34931	31226
528	35010	31172
529	35066	31096
530	35140	31037
531	35197	30963
532	35270	30903
533	35337	30837
534	35420	30786
535	35483	30716
536	35555	30655
537	35616	30585
538	35694	30528
539	35745	30450
540	35797	30371
541	35876	30316
542	35925	30235
543	35978	30158
544	36053	30099
545	36112	30027
546	36185	29967
547	36236	29888
548	36288	29810
549	36370	29757
550	36446	29699
551	36538	29654
552	36607	29590
553	36698	29544
554	36762	29475
555	36841	29419
556	36896	29344
557	36950	29269
558	37008	29196
559	37059	29118
560	37141	29064
561	37197	28990
562	37254	28916
563	37303	28837
564	37379	28778
565	37471	28732
566	37548	28674
567	37629	28619
568	37677	28539
569	37746	28475
570	37820	28415
571	37879	28343
572	37952	28282
573	38007	28207
574	38088	28152
575	38166	28094
576	38225	28023
577	38278	27947
578	38338	27876
579	38433	27830
580	38490	27758
581	38554	27690
582	38611	27617
583	38674	27548
584	38735	27479
585	38788	27403
586	38875	27351
587	38931	27278
588	38988	27205
589	39041	27130
590	39123	27075
591	39174	26998
592	39253	26941
593	39311	26869
594	39368	26797
595	39425	26724
596	39483	26652
597	39542	26581
598	39595	26506
599	39655	26436
600	39733	26378
601	39786	26303
602	39863	26245
603	39920	26172
604	39995	26112
605	40048	26037
606	40099	25962
607	40179	25905
608	40236	25833
609	40312	25773
610	40368	25700
611	40439	25637
612	40499	25568
613	40556	25496
614	40624	25431
615	40680	25359
616	40762	25303
617	40818	25230
618	40904	25176
619	40974	25113
620	41034	25043
621	41090	24971
622	41141	24896
623	41218	24836
624	41267	24760
625	41317	24685
626	41396	24626
627	41446	24551
628	41508	24482
629	41570	24414
630	41625	24342
631	41680	24269
632	41761	24212
633	41819	24141
634	41896	24082
635	41951	24010
636	42030	23951
637	42082	23877
638	42155	23815
639	42213	23745
640	42266	23671
641	42327	23603
642	42390	23535
643	42469	23477
644	42518	23401
645	42577	23331
646	42632	23259
647	42687	23188
648	42739	23115
649	42824	23059
650	42891	22993
651	42963	22931
652	43034	22868
653	43106	22805
654	43169	22738
655	43252	22681
656	43303	22607
657	43353	22533
658	43420	22468
659	43480	22398
660	43532	22325
661	43609	22265
662	43671	22197
663	43726	22126
664	43783	22056
665	43864	21997
666	43947	21940
667	43994	21865
668	44071	21805
669	44123	21732
670	44195	21669
671	44281	21613
672	44356	21551
673	44437	21493
674	44489	21420
675	44560	21357
676	44611	21284
677	44663	21211
678	44747	21154
679	44818	21090
680	44890	21028
681	44948	20958
682	44998	20885
683	45078	20825
684	45132	20754
685	45222	20699
686	45296	20637
687	45375	20577
688	45431	20506
689	45511	20447
690	45568	20377
691	45629	20309
692	45688	20239
693	45745	20170
694	45820	20108
695	45873	20036
696	45923	19963
697	46004	19904
698	46059	19833
699	46142	19775
700	46197	19704
701	46273	19642
702	46323	19570
703	46375	19498
704	46454	19438
705	46507	19367
706	46587	19307
707	46658	19243
708	46755	19190
709	46828	19127
710	46913	19068
711	46962	18996
712	47034	18932
713	47087	18861
714	47140	18790
715	47195	18720
716	47253	18650
717	47309	18580
718	47400	18524
719	47487	18467
720	47554	18401
721	47605	18330
722	47657	18258
723	47737	18198
724	47817	18137
725	47886	18072
726	47952	18007
727	48015	17939
728	48089	17876
729	48137	17804
730	48188	17732
731	48270	17672
732	48325	17603
733	48399	17540
734	48460	17471
735	48519	17403
736	48574	17333
737	48627	17263
738	48708	17202
739	48763	17133
740	48823	17065
741	48874	16994
742	48929	16924
743	49004	16861
744	49054	16790
745	49113	16722
746	49186	16658
747	49244	16590
748	49322	16528
749	49397	16465
750	49479	16405
751	49544	16339
752	49642	16283
753	49693	16212
754	49769	16150
755	49843	16087
756	49919	16024
757	49979	15956
758	50054	15893
759	50112	15825
760	50187	15762
761	50251	15695
762	50324	15631
763	50389	15565
764	50443	15495
765	50494	15425
766	50569	15362
767	50653	15301
768	50707	15232
769	50785	15169
770	50844	15101
771	50896	15031
772	50969	14967
773	51027	14899
774	51108	14837
775	51158	14767
776	51242	14706
777	51294	14636
778	51379	14576
779	51448	14511
780	51512	14444
781	51582	14379
782	51662	14317
783	51745	14256
784	51828	14195
785	51888	14127
786	51962	14063
787	52017	13994
788	52071	13925
789	52148	13862
790	52224	13798
791	52297	13734
792	52353	13666
793	52408	13597
794	52500	13537
795	52566	13471
796	52622	13403
797	52679	13334
798	52738	13267
799	52814	13203
800	52870	13135
801	52953	13073
802	53014	13006
803	53092	12942
804	53167	12878
805	53247	12816
806	53304	12748
807	53381	12684
808	53433	12615
809	53484	12545
810	53568	12483
811	53620	12414
812	53703	12352
813	53761	12284
814	53841	12221
815	53918	12158
816	53986	12092
817	54038	12023
818	54090	11954
819	54170	11891
820	54232	11824
821	54303	11759
822	54355	11690
823	54403	11620
824	54462	11552
825	54513	11483
826	54574	11416
827	54630	11348
828	54694	11282
829	54748	11213
830	54839	11152
831	54902	11086
832	54964	11019
833	55019	10951
834	55070	10882
835	55139	10816
836	55191	10748
837	55254	10681
838	55352	10621
839	55400	10552
840	55476	10488
841	55526	10419
842	55585	10352
843	55673	10290
844	55728	10222
845	55800	10157
846	55854	10089
847	55906	10020
848	55973	9955
849	56044	9890
850	56121	9826
851	56175	9758
852	56240	9692
853	56292	9623
854	56340	9554
855	56416	9490
856	56474	9423
857	56549	9359
858	56612	9292
859	56689	9228
860	56743	9160
861	56822	9096
862	56888	9030
863	56965	8966
864	57041	8902
865	57126	8839
866	57186	8772
867	57262	8708
868	57316	8640
869	57374	8573
870	57435	8506
871	57489	8438
872	57554	8372
873	57625	8307
874	57679	8239
875	57732	8172
876	57814	8108
877	57865	8040
878	57948	7977
879	58000	7909
880	58058	7842
881	58122	7776
882	58187	7710
883	58246	7643
884	58301	7575
885	58352	7508
886	58433	7444
887	58486	7376
888	58564	7312
889	58628	7246
890	58706	7181
891	58759	7114
892	58834	7049
893	58893	6982
894	58947	6915
895	59002	6848
896	59056	6781
897	59131	6716
898	59184	6649
899	59241	6582
900	59323	6518
901	59375	6451
902	59448	6385
903	59508	6319
904	59584	6254
905	59644	6188
906	59702	6121
907	59756	6054
908	59808	5987
909	59893	5923
910	59943	5856
911	60020	5791
912	60069	5724
913	60127	5657
914	60214	5593
915	60272	5527
916	60372	5464
917	60429	5397
918	60505	5332
919	60563	5266
920	60652	5202
921	60717	5136
922	60777	5070
923	60843	5004
924	60896	4937
925	60975	4872
926	61026	4805
927	61084	4739
928	61167	4674
929	61215	4607
930	61289	4542
931	61341	4475
932	61401	4409
933	61478	4344
934	61528	4277
935	61580	4210
936	61664	4146
937	61714	4079
938	61791	4014
