iter	RMSE
0	0.8139052318
1	0.7902323799
2	0.7675043663
3	0.7468058928
4	0.7266292632
5	0.7074222872
6	0.6895499995
7	0.6725296328
8	0.6561867556
9	0.6412226867
10	0.6265392618
11	0.6129964715
12	0.5996070379
13	0.5870428395
14	0.575802923
15	0.5649229543
16	0.554317637
17	0.5444950495
18	0.5353867607
19	0.5263533566
20	0.518030685
21	0.510265924
22	0.5026322633
23	0.4960134984
24	0.4892605951
25	0.4832264215
26	0.4771325826
27	0.4714776863
28	0.4660466403
29	0.4608318671
30	0.455992246
31	0.4517969748
32	0.4477008833
33	0.444018113
34	0.4399447012
35	0.436617548
36	0.4330401422
37	0.4299996625
38	0.4266680416
39	0.4235386173
40	0.4205499997
41	0.4181805325
42	0.4155267252
43	0.4130955021
44	0.4112293775
45	0.4088837417
46	0.4069804193
47	0.4050567758
48	0.4031691393
49	0.4010302218
50	0.3993446158
51	0.3979098082
52	0.3960166746
53	0.3946420101
54	0.3931355452
55	0.3918095091
56	0.3901868978
57	0.3888830531
58	0.3874267995
59	0.3860517329
60	0.3846791964
61	0.3835506636
62	0.3823570653
63	0.3810901655
64	0.3799825938
65	0.3790433683
66	0.3779324302
67	0.3768834381
68	0.3758375153
69	0.3749511066
70	0.3740437993
71	0.3731903641
72	0.3722634824
73	0.3714183708
74	0.3706881379
75	0.369995314
76	0.3692563934
77	0.3685633506
78	0.3678888603
79	0.3670790817
80	0.3659879416
81	0.3653232879
82	0.364502151
83	0.3638975392
84	0.3631537937
85	0.3625333221
86	0.3618542403
87	0.3613213301
88	0.3606998818
89	0.3599503699
90	0.3592553116
91	0.3588369807
92	0.3583982944
93	0.3577460718
94	0.3573248514
95	0.3566643598
96	0.3561176267
97	0.3557714441
98	0.3553047587
99	0.354793365
100	0.3542523892
101	0.3537003961
102	0.3531655427
103	0.352624826
104	0.3521668792
105	0.3517176451
106	0.3512121039
107	0.3509037721
108	0.3505893269
109	0.3501359746
110	0.3497296491
111	0.3495026629
112	0.3490880753
113	0.3486197663
114	0.348289686
115	0.3478944013
116	0.3475418801
117	0.3473181509
118	0.3470800713
119	0.3466821658
120	0.3462547117
121	0.3459185414
122	0.3457377625
123	0.3454076488
124	0.3449116456
125	0.3445942895
126	0.3440864311
127	0.3436714938
128	0.343344754
129	0.3428971162
130	0.342615667
131	0.3423133618
132	0.3419859525
133	0.3416901299
134	0.3413194482
135	0.3409747761
136	0.3406579718
137	0.3404734367
138	0.340070111
139	0.3397094113
140	0.3394093878
141	0.3392569055
142	0.3388450765
143	0.3384440362
144	0.3382312979
145	0.3379176426
146	0.3376130199
147	0.3372816537
148	0.3370117744
149	0.336707374
150	0.3364433273
151	0.3361823088
152	0.3358599509
153	0.3354352009
154	0.3351934041
155	0.3348519869
156	0.3345965874
157	0.3342913988
158	0.3340797162
159	0.3338706758
160	0.3336480322
161	0.3332710126
162	0.3330530663
163	0.3327810521
164	0.3324744464
165	0.3323154346
166	0.3321003135
167	0.3319242846
168	0.3316789735
169	0.3313339061
170	0.3312201835
171	0.3310007477
172	0.3308096976
173	0.3305809384
174	0.3304693762
175	0.3302207442
176	0.3300494139
177	0.3297914106
178	0.3296627452
179	0.3294587176
180	0.3291874728
181	0.3289866916
182	0.328731217
183	0.328386554
184	0.3281939291
185	0.3280158571
186	0.327765981
187	0.3275226533
188	0.3272949137
189	0.3270359472
190	0.3267942108
191	0.3265543562
192	0.3263758366
193	0.3261682795
194	0.3260075198
195	0.325786951
196	0.3255811356
197	0.3254729081
198	0.3253077692
199	0.3251798057
200	0.3250745892
201	0.3249936969
202	0.3247542218
203	0.3244972461
204	0.3242746037
205	0.3240681668
206	0.3239986317
207	0.3238367653
208	0.3236795683
209	0.3234843841
210	0.3232921516
211	0.3231940811
212	0.3229601074
213	0.3227961943
214	0.3225697873
215	0.3224249683
216	0.3222855904
217	0.3220788846
218	0.3218476285
219	0.3216446883
220	0.3214909846
221	0.3211991741
222	0.3210092821
223	0.3208291613
224	0.3206605495
225	0.3204812287
226	0.3202834906
227	0.3201245235
228	0.3199973557
229	0.3197816238
230	0.319585757
231	0.3193689329
232	0.3192786381
233	0.3190606774
234	0.318892546
235	0.3186519776
236	0.3185315365
237	0.318383001
238	0.3181397265
239	0.3179706264
240	0.3178165356
241	0.3176673052
242	0.317403901
243	0.3171940238
244	0.3170161321
245	0.3167928342
246	0.3166327697
247	0.31648147
248	0.3162680789
249	0.3160635256
250	0.3159217393
251	0.3156544354
252	0.3154177558
253	0.3152447516
254	0.3151132469
255	0.314990713
256	0.3148147833
257	0.3146323967
258	0.3144608033
259	0.3142677
260	0.3141138594
261	0.3139228804
262	0.3137053124
263	0.3135108956
264	0.31340479
265	0.3132519103
266	0.3131219911
267	0.3129868216
268	0.3127461369
269	0.3125702829
270	0.3124013596
271	0.3122499455
272	0.3120554244
273	0.3119120914
274	0.3116957445
275	0.3115639147
276	0.3114214421
277	0.3112692529
278	0.3110915657
279	0.3109183208
280	0.3107598883
281	0.3105764453
282	0.3104090801
283	0.3102671762
284	0.3101345587
285	0.3099676501
286	0.309741651
287	0.3096155469
288	0.3094210893
289	0.30923679
290	0.309142856
291	0.3090288214
292	0.3088148522
293	0.3086980192
294	0.3085220659
295	0.3083459249
296	0.308209745
297	0.3080069346
298	0.3078190339
299	0.3076573446
300	0.3074911297
301	0.3073748904
302	0.3072519555
303	0.3070867308
304	0.3069238626
305	0.3068167796
306	0.3067087568
307	0.3065232011
308	0.3063758929
309	0.3062533969
310	0.3060609818
311	0.3059269808
312	0.3058090487
313	0.3056564705
314	0.3054984931
315	0.3053744127
316	0.3052546782
317	0.3050933292
318	0.3049980624
319	0.3048354689
320	0.3046679446
321	0.3044799082
322	0.3043370532
323	0.3041831918
324	0.3040462303
325	0.3039539551
326	0.3038573085
327	0.3037250982
328	0.3035739195
329	0.3033959155
330	0.3032913301
331	0.3031570206
332	0.3030462648
333	0.3028901
334	0.3027797857
335	0.3026418314
336	0.3025429348
337	0.3023790339
338	0.3022470845
339	0.3021318256
340	0.302037679
341	0.3019560732
342	0.3018799681
343	0.3017750491
344	0.301676705
345	0.3015614023
346	0.3014341427
347	0.3012931515
348	0.3011851526
349	0.301067459
350	0.3008711124
351	0.3007225569
352	0.3006201763
353	0.3005040236
354	0.3003715175
355	0.3002816257
356	0.3000396319
357	0.2998984851
358	0.299703788
359	0.2995989841
360	0.2994791861
361	0.2993874052
362	0.2992372461
363	0.2991317638
364	0.2989855012
365	0.2989122231
366	0.2988216276
367	0.2986763312
368	0.2985392816
369	0.2984696117
370	0.2983273468
371	0.2982471924
372	0.2981348579
373	0.2979692499
374	0.2977898334
375	0.2975679292
376	0.2974748047
377	0.2973699126
378	0.2972830004
379	0.2971493447
380	0.2970364419
381	0.2969206647
382	0.2967848514
383	0.2967200237
384	0.2965776369
385	0.2964226149
386	0.2963304721
387	0.2962056413
388	0.2960857626
389	0.295963163
390	0.2958488648
391	0.2957484538
392	0.2956273221
393	0.2955023096
394	0.2953738563
395	0.2952829135
396	0.2952267198
397	0.2951435457
398	0.2950588858
399	0.2949726964
400	0.2947746022
401	0.2946576259
402	0.2945240284
403	0.2943968025
404	0.2943117262
405	0.2941909678
406	0.2940857591
407	0.2939853893
408	0.2938372729
409	0.293745707
410	0.2936323981
411	0.2935754334
412	0.293395986
413	0.2932574271
414	0.2931705677
415	0.293058056
416	0.2929615341
417	0.2928714085
418	0.2927837261
419	0.2926645914
420	0.2926214655
421	0.2925398485
422	0.2924551959
423	0.2923213788
424	0.2921607065
425	0.2920901116
426	0.2920054304
427	0.2919269974
428	0.2917308996
429	0.2915869687
430	0.2914691869
431	0.291361162
432	0.2912440161
433	0.2911449912
434	0.2910465806
435	0.2908890275
436	0.2907952339
437	0.2907256116
438	0.290670542
439	0.290561045
440	0.2904668897
441	0.2903426979
442	0.2902096649
443	0.2900960646
444	0.290004265
445	0.2899035038
446	0.2897756978
447	0.289733928
448	0.2896790541
449	0.2895827962
450	0.2894447204
451	0.289373109
452	0.2892468066
453	0.2891783177
454	0.28905678
455	0.2890025161
456	0.2889290392
457	0.2888023096
458	0.2887159524
459	0.288604085
460	0.2884979684
461	0.2883633134
462	0.2882412335
463	0.2881353098
464	0.288059577
465	0.2879300358
466	0.2878439773
467	0.2877188263
468	0.2876601507
469	0.2875701872
470	0.2874798383
471	0.2874062594
472	0.287315591
473	0.2872262776
474	0.2871495206
475	0.2870929561
476	0.287032368
477	0.286917164
478	0.2868315021
479	0.2867437716
480	0.2866798476
481	0.2865342934
482	0.2864249333
483	0.2863186801
484	0.2862261703
485	0.2861585415
486	0.2860441204
487	0.2859728193
488	0.2858422993
489	0.2857402679
490	0.2856499244
491	0.2855645248
492	0.2854767314
493	0.2853788448
494	0.2853201117
495	0.2852551577
496	0.285184137
497	0.2851188193
498	0.285015625
499	0.2848913497
500	0.2847922746
501	0.2847147883
502	0.2846188575
503	0.2845286998
504	0.2844447538
505	0.2843635676
506	0.284243594
507	0.2841717248
508	0.2840951292
509	0.2839925541
510	0.2839622439
511	0.2838737337
512	0.2838032627
513	0.2837149951
514	0.2836518294
515	0.2835860543
516	0.2835227517
517	0.2834575038
518	0.2834046482
519	0.2833058922
520	0.2832198565
521	0.2831034727
522	0.282994848
523	0.2829178756
524	0.2828538606
525	0.2827914545
526	0.2827277588
527	0.2826631686
528	0.2825277234
529	0.2824242919
530	0.282360423
531	0.2822709471
532	0.2821966445
533	0.2820928228
534	0.2819924685
535	0.2819133615
536	0.2818087674
537	0.2817287381
538	0.2816101291
539	0.2815288837
540	0.2814494016
541	0.2813740405
542	0.2813205174
543	0.2812331969
544	0.2811071011
545	0.2810174569
546	0.2809215601
547	0.2808106935
548	0.2807862542
549	0.2807264367
550	0.280619634
551	0.2805585035
552	0.2804654911
553	0.2803806439
554	0.2803068024
555	0.2802047268
556	0.2801261711
557	0.2800677103
558	0.279969252
559	0.2798990439
560	0.2798136904
561	0.2797415796
562	0.2796995281
563	0.2796546081
564	0.2795616109
565	0.2794469578
566	0.2793377448
567	0.279263871
568	0.2792126208
569	0.2791401347
570	0.2790605415
571	0.2789770669
572	0.27888512
573	0.2788400351
574	0.2787259753
575	0.2786429516
576	0.2785949783
577	0.2785081495
578	0.2784341513
579	0.2783656765
580	0.278324205
581	0.2782218337
582	0.2781247915
583	0.2780091178
584	0.2779520061
585	0.2778571836
586	0.277769261
587	0.2777155268
588	0.2776592671
589	0.2775611495
590	0.2774712755
591	0.2773655215
592	0.2772606177
