iter	Passed	Remaining
0	67	67259
1	129	64541
2	183	61076
3	278	69384
4	345	68836
5	400	66282
6	470	66721
7	534	66282
8	605	66726
9	679	67268
10	748	67300
11	802	66103
12	859	65269
13	911	64201
14	967	63558
15	1020	62731
16	1085	62747
17	1151	62800
18	1220	63034
19	1275	62498
20	1334	62213
21	1385	61579
22	1468	62358
23	1527	62115
24	1580	61654
25	1633	61201
26	1695	61108
27	1759	61069
28	1815	60772
29	1869	60449
30	1936	60542
31	1993	60314
32	2047	59987
33	2099	59640
34	2153	59376
35	2212	59239
36	2269	59076
37	2323	58820
38	2378	58611
39	2434	58430
40	2488	58203
41	2545	58069
42	2598	57832
43	2657	57739
44	2709	57501
45	2766	57384
46	2819	57165
47	2871	56959
48	2923	56734
49	2977	56573
50	3032	56427
51	3087	56286
52	3167	56602
53	3226	56525
54	3302	56744
55	3369	56792
56	3437	56874
57	3492	56727
58	3549	56608
59	3613	56610
60	3673	56542
61	3733	56476
62	3790	56376
63	3848	56279
64	3902	56139
65	3960	56052
66	4015	55915
67	4068	55757
68	4120	55594
69	4175	55477
70	4231	55369
71	4286	55254
72	4345	55182
73	4412	55210
74	4470	55132
75	4525	55014
76	4575	54850
77	4630	54734
78	4689	54675
79	4746	54583
80	4798	54446
81	4854	54347
82	4908	54229
83	4971	54212
84	5041	54264
85	5109	54305
86	5162	54171
87	5215	54053
88	5271	53962
89	5329	53886
90	5394	53890
91	5458	53870
92	5515	53787
93	5574	53732
94	5627	53611
95	5688	53568
96	5740	53440
97	5794	53334
98	5845	53198
99	5902	53119
100	5967	53114
101	6023	53027
102	6108	53198
103	6176	53215
104	6234	53140
105	6295	53093
106	6355	53045
107	6417	53005
108	6471	52896
109	6539	52908
110	6591	52794
111	6649	52723
112	6712	52692
113	6771	52626
114	6830	52562
115	6890	52510
116	6965	52564
117	7023	52498
118	7081	52424
119	7133	52315
120	7203	52327
121	7280	52397
122	7337	52317
123	7410	52354
124	7471	52303
125	7537	52283
126	7608	52303
127	7669	52250
128	7733	52213
129	7786	52107
130	7841	52016
131	7897	51930
132	7954	51853
133	8009	51765
134	8068	51698
135	8126	51628
136	8182	51545
137	8232	51423
138	8289	51348
139	8345	51264
140	8407	51218
141	8457	51099
142	8513	51019
143	8563	50905
144	8625	50859
145	8700	50891
146	8756	50814
147	8817	50761
148	8875	50692
149	8929	50601
150	8982	50502
151	9035	50406
152	9097	50360
153	9154	50289
154	9209	50205
155	9261	50108
156	9325	50071
157	9386	50023
158	9440	49935
159	9493	49843
160	9555	49796
161	9607	49700
162	9678	49696
163	9748	49694
164	9810	49646
165	9857	49526
166	9918	49474
167	9968	49369
168	10052	49429
169	10116	49392
170	10173	49319
171	10239	49294
172	10317	49319
173	10395	49349
174	10468	49351
175	10562	49452
176	10693	49719
177	10846	50090
178	10963	50283
179	11038	50288
180	11119	50312
181	11187	50281
182	11247	50214
183	11305	50137
184	11360	50047
185	11419	49977
186	11474	49887
187	11542	49852
188	11597	49764
189	11658	49701
190	11717	49631
191	11780	49576
192	11849	49547
193	11919	49519
194	11972	49426
195	12028	49340
196	12104	49339
197	12159	49250
198	12214	49163
199	12269	49079
200	12322	48983
201	12374	48887
202	12462	48931
203	12512	48823
204	12569	48744
205	12620	48644
206	12679	48572
207	12737	48500
208	12792	48416
209	12848	48335
210	12926	48337
211	12978	48241
212	13035	48165
213	13093	48090
214	13147	48001
215	13204	47926
216	13254	47824
217	13307	47734
218	13362	47653
219	13414	47559
220	13466	47466
221	13521	47387
222	13579	47313
223	13629	47216
224	13678	47115
225	13738	47050
226	13793	46971
227	13852	46904
228	13912	46840
229	13977	46792
230	14041	46743
231	14099	46673
232	14150	46582
233	14208	46510
234	14257	46414
235	14321	46362
236	14377	46285
237	14429	46198
238	14481	46111
239	14539	46040
240	14611	46018
241	14665	45935
242	14719	45853
243	14784	45806
244	14837	45724
245	14896	45659
246	14949	45574
247	15007	45505
248	15063	45431
249	15145	45436
250	15201	45363
251	15258	45291
252	15320	45234
253	15374	45153
254	15427	45073
255	15478	44985
256	15536	44917
257	15587	44829
258	15645	44762
259	15708	44709
260	15771	44655
261	15824	44575
262	15885	44517
263	15935	44426
264	15989	44349
265	16050	44290
266	16117	44246
267	16181	44196
268	16243	44142
269	16303	44079
270	16362	44014
271	16437	43993
272	16497	43932
273	16556	43869
274	16621	43820
275	16674	43740
276	16729	43666
277	16789	43604
278	16846	43534
279	16897	43451
280	16956	43386
281	17020	43336
282	17082	43280
283	17132	43192
284	17184	43112
285	17234	43026
286	17292	42961
287	17346	42883
288	17399	42805
289	17453	42731
290	17506	42654
291	17570	42603
292	17632	42547
293	17685	42468
294	17745	42408
295	17795	42324
296	17853	42259
297	17924	42224
298	17983	42161
299	18042	42099
300	18099	42031
301	18164	41983
302	18231	41939
303	18293	41881
304	18363	41843
305	18420	41776
306	18477	41710
307	18539	41652
308	18593	41579
309	18646	41504
310	18703	41435
311	18777	41407
312	18833	41337
313	18890	41269
314	18948	41206
315	18999	41126
316	19055	41056
317	19112	40989
318	19170	40926
319	19225	40853
320	19291	40805
321	19347	40738
322	19411	40686
323	19468	40619
324	19522	40547
325	19583	40488
326	19638	40417
327	19688	40336
328	19749	40279
329	19808	40216
330	19861	40144
331	19928	40097
332	19984	40029
333	20045	39970
334	20105	39911
335	20188	39895
336	20247	39834
337	20307	39774
338	20380	39738
339	20442	39682
340	20497	39612
341	20547	39533
342	20600	39459
343	20656	39391
344	20713	39325
345	20771	39261
346	20827	39194
347	20891	39140
348	20970	39116
349	21039	39072
350	21117	39046
351	21186	39002
352	21247	38944
353	21307	38883
354	21365	38818
355	21423	38755
356	21495	38715
357	21567	38677
358	21623	38608
359	21676	38535
360	21734	38472
361	21793	38409
362	21849	38342
363	21903	38271
364	21957	38200
365	22011	38129
366	22062	38053
367	22120	37990
368	22177	37923
369	22228	37849
370	22284	37780
371	22337	37709
372	22388	37633
373	22458	37590
374	22544	37574
375	22631	37557
376	22711	37531
377	22821	37552
378	22915	37547
379	23005	37535
380	23108	37543
381	23174	37492
382	23242	37442
383	23326	37419
384	23414	37401
385	23480	37350
386	23537	37282
387	23614	37247
388	23703	37230
389	23767	37174
390	23861	37165
391	23915	37093
392	23965	37015
393	24028	36957
394	24078	36879
395	24130	36805
